url,popularity_score,metascore,oscars,rank_2024,title,year,run_time,IMBD_rating_2024
https://www.imdb.com/title/tt0046912/?ref_=chttp_t_164,4002.0,75.0,,162,Dial M for Murder,1954,1h 45m,8.2
https://www.imdb.com/title/tt0042876/?ref_=chttp_t_165,4483.0,98.0,,161,Rashomon,1950,1h 28m,8.2
https://www.imdb.com/title/tt0055630/?ref_=chttp_t_166,,93.0,,154,Yojimbo,1961,1h 50m,8.2
https://www.imdb.com/title/tt0040897/?ref_=chttp_t_167,,98.0,3.0,153,The Treasure of the Sierra Madre,1948,2h 6m,8.2
https://www.imdb.com/title/tt0118849/?ref_=chttp_t_168,,77.0,,184,Children of Heaven,1997,1h 29m,8.2
https://www.imdb.com/title/tt0049902/?ref_=chttp_t_169,,,,231,A Man Escaped,1956,1h 41m,8.2
https://www.imdb.com/title/tt0012349/?ref_=chttp_t_170,,,,136,The Kid,1921,1h 8m,8.2
https://www.imdb.com/title/tt0476735/?ref_=chttp_t_171,,,,237,My Father and My Son,2005,1h 52m,8.2
https://www.imdb.com/title/tt0015324/?ref_=chttp_t_172,,,,203,Sherlock Jr.,1924,45m,8.2
https://www.imdb.com/title/tt0032138/?ref_=chttp_t_173,223.0,92.0,2.0,232,The Wizard of Oz,1939,1h 42m,8.1
https://www.imdb.com/title/tt0325980/?ref_=chttp_t_174,276.0,63.0,,222,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1
https://www.imdb.com/title/tt0097165/?ref_=chttp_t_175,297.0,79.0,1.0,191,Dead Poets Society,1989,2h 8m,8.1
https://www.imdb.com/title/tt0091763/?ref_=chttp_t_176,300.0,92.0,4.0,221,Platoon,1986,2h,8.1
https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177,311.0,90.0,6.0,182,Mad Max: Fury Road,2015,2h,8.1
https://www.imdb.com/title/tt0434409/?ref_=chttp_t_178,313.0,62.0,,168,V for Vendetta,2005,2h 12m,8.1
https://www.imdb.com/title/tt3315342/?ref_=chttp_t_179,324.0,77.0,,212,Logan,2017,2h 17m,8.1
https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180,352.0,85.0,,179,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1
https://www.imdb.com/title/tt0264464/?ref_=chttp_t_181,359.0,75.0,,174,Catch Me If You Can,2002,2h 21m,8.1
https://www.imdb.com/title/tt2096673/?ref_=chttp_t_182,364.0,94.0,1.0,167,Inside Out,2015,1h 35m,8.1
https://www.imdb.com/title/tt2267998/?ref_=chttp_t_183,378.0,79.0,,192,Gone Girl,2014,2h 29m,8.1
https://www.imdb.com/title/tt0088247/?ref_=chttp_t_184,391.0,84.0,,219,The Terminator,1984,1h 47m,8.1
https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185,409.0,84.0,,187,Blade Runner,1982,1h 57m,8.1
https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186,442.0,88.0,4.0,189,The Grand Budapest Hotel,2014,1h 39m,8.1
https://www.imdb.com/title/tt4016934/?ref_=chttp_t_187,446.0,85.0,1.0,239,The Handmaiden,2016,2h 25m,8.1
