url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt0910970/?ref_=chttp_t_74,750,95,Won 1 Oscar
https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75,925,87,Won 8 Oscars
https://www.imdb.com/title/tt0050825/?ref_=chttp_t_76,"1,629",90,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt0082096/?ref_=chttp_t_77,"1,683",85,Nominated for 6 Oscars
https://www.imdb.com/title/tt8267604/?ref_=chttp_t_78,"1,732",75,Nominated for 1 Oscar
https://www.imdb.com/title/tt1187043/?ref_=chttp_t_79,"2,295",67,Awards
https://www.imdb.com/title/tt0051201/?ref_=chttp_t_80,"2,789",76,Nominated for 6 Oscars
https://www.imdb.com/title/tt0032553/?ref_=chttp_t_81,"4,250",N/A,Nominated for 5 Oscars
https://www.imdb.com/title/tt0057565/?ref_=chttp_t_82,"4,836",90,Awards
https://www.imdb.com/title/tt29623480/?ref_=chttp_t_83,14,85,Awards
https://www.imdb.com/title/tt15398776/?ref_=chttp_t_84,76,90,Won 7 Oscars
https://www.imdb.com/title/tt0119217/?ref_=chttp_t_85,151,71,Won 2 Oscars
https://www.imdb.com/title/tt0338013/?ref_=chttp_t_86,179,89,Won 1 Oscar
https://www.imdb.com/title/tt0180093/?ref_=chttp_t_87,215,71,Nominated for 1 Oscar
https://www.imdb.com/title/tt0169547/?ref_=chttp_t_88,236,84,Won 5 Oscars
https://www.imdb.com/title/tt0113277/?ref_=chttp_t_89,328,76,Awards
https://www.imdb.com/title/tt0086250/?ref_=chttp_t_90,335,65,Awards
https://www.imdb.com/title/tt0364569/?ref_=chttp_t_91,346,78,Awards
https://www.imdb.com/title/tt0112573/?ref_=chttp_t_92,351,68,Won 5 Oscars
https://www.imdb.com/title/tt0091251/?ref_=chttp_t_93,475,N/A,Awards
https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94,515,84,Won 1 Oscar
https://www.imdb.com/title/tt0087843/?ref_=chttp_t_95,557,75,Won 2 BAFTA Awards
